Category,Name,Image,Have,Need,Duplicates,Element,Vehicle Type,Link,Image Link
Skylander,Bouncer,,,X,,Tech,,http://skylanderscharacterlist.com/bouncer/,http://skylanderscharacterlist.com/wp-content/uploads/2013/02/Bouncer-150x150.png
Skylander,Crusher,,,X,,Earth,,http://skylanderscharacterlist.com/crusher/,http://skylanderscharacterlist.com/wp-content/uploads/2013/02/Crusher-150x150.png
Skylander,Eye-Brawl,,,X,,Undead,,http://skylanderscharacterlist.com/eye-brawl/,http://skylanderscharacterlist.com/wp-content/uploads/2013/02/EyeBrawl1-150x150.png
Skylander,Hot Head,,,X,,Fire,,http://skylanderscharacterlist.com/hot-head/,http://skylanderscharacterlist.com/wp-content/uploads/2014/02/HotHead-150x150.png
Skylander,Ninjini,,,X,,Magic,,http://skylanderscharacterlist.com/ninjini/,http://skylanderscharacterlist.com/wp-content/uploads/2013/02/Ninjini-150x150.png
Skylander,Swarm,,,X,,Air,,http://skylanderscharacterlist.com/swarm/,http://skylanderscharacterlist.com/wp-content/uploads/2013/02/Swarm-150x150.png
Skylander,Thumpback,,,X,,Water,,http://skylanderscharacterlist.com/thumpback/,http://skylanderscharacterlist.com/wp-content/uploads/2013/02/Thumpback-150x150.png
Skylander,Tree Rex,,,X,,Life,,http://skylanderscharacterlist.com/tree-rex/,http://skylanderscharacterlist.com/wp-content/uploads/2013/02/TreeRex-150x150.png
Skylander,Chill,,,X,,Water,,http://skylanderscharacterlist.com/chill/,http://skylanderscharacterlist.com/wp-content/uploads/2013/02/Chill-150x150.png
Skylander,Flashwing,,,X,,Earth,,http://skylanderscharacterlist.com/flashwing/,http://skylanderscharacterlist.com/wp-content/uploads/2013/02/Flashwing-150x150.png
Skylander,Fright Rider,,,X,,Undead,,http://skylanderscharacterlist.com/fright-rider/,http://skylanderscharacterlist.com/wp-content/uploads/2013/02/FrightRider-150x150.png
Skylander,Hot Dog,,,X,,Fire,,http://skylanderscharacterlist.com/hot-dog/,http://skylanderscharacterlist.com/wp-content/uploads/2013/02/HotDog-150x150.png
Skylander,Jet-Vac,,,X,,Air,,http://skylanderscharacterlist.com/jet-vac/,http://skylanderscharacterlist.com/wp-content/uploads/2013/02/JetVac-150x150.png
Skylander,Pop Fizz,,,X,,Magic,,http://skylanderscharacterlist.com/pop-fizz/,http://skylanderscharacterlist.com/wp-content/uploads/2013/02/PopFizz-150x150.png
Skylander,Shroomboom,,,X,,Life,,http://skylanderscharacterlist.com/shroomboom/,http://skylanderscharacterlist.com/wp-content/uploads/2013/02/Shroomboom-150x150.png
Skylander,Sprocket,,,X,,Tech,,http://skylanderscharacterlist.com/sprocket/,http://skylanderscharacterlist.com/wp-content/uploads/2013/02/Sprocket-150x150.png
Skylander,Bash,,,X,,Earth,,http://skylanderscharacterlist.com/bash-series-2/,http://skylanderscharacterlist.com/wp-content/uploads/2014/02/Bash-150x150.png
Skylander,Chop Chop,,,X,,Undead,,http://skylanderscharacterlist.com/chop-chop-series-2/,http://skylanderscharacterlist.com/wp-content/uploads/2014/02/ChopChop-150x150.png
Skylander,Cynder,,,X,,Undead,,http://skylanderscharacterlist.com/cynder-series-2/,http://skylanderscharacterlist.com/wp-content/uploads/2013/02/Cynder1-150x150.png
Skylander,Double Trouble,,,X,,Magic,,http://skylanderscharacterlist.com/double-trouble-series-2/,http://skylanderscharacterlist.com/wp-content/uploads/2013/02/DoubleTrouble1-150x150.png
Skylander,Drill Sergeant,,,X,,Tech,,http://skylanderscharacterlist.com/drill-sergeant-series-2/,http://skylanderscharacterlist.com/wp-content/uploads/2013/02/DrillSergeant1-150x150.png
Skylander,Drobot,,,X,,Tech,,http://skylanderscharacterlist.com/drobot-series-2/,http://skylanderscharacterlist.com/wp-content/uploads/2014/02/Drobot-150x150.png
